VOLTAGE=-57.578184172951460, I_K=-0.000002679565475, I_L=-0.621320717930319, I_Na=0.040237202813552, I_T=0.121233038899269, H=0.982348305526805, R=0.001183391967203
VOLTAGE=-57.582781540920948, I_K=-0.000002675802674, I_L=-0.621090791352427, I_Na=0.040163880545981, I_T=0.121192789660356, H=0.982353375287738, R=0.001183614485821
VOLTAGE=-57.587377742690940, I_K=-0.000002672024623, I_L=-0.620860922953953, I_Na=0.040090709219554, I_T=0.121152708759955, H=0.982358477376745, R=0.001183838724123
VOLTAGE=-57.591972775657709, I_K=-0.000002668231460, I_L=-0.620631112865453, I_Na=0.040017688535924, I_T=0.121112795883764, H=0.982363611668910, R=0.001184064680992
VOLTAGE=-57.596566637224960, I_K=-0.000002664423323, I_L=-0.620401361217115, I_Na=0.039944818197160, I_T=0.121073050717935, H=0.982368778039591, R=0.001184292355311
VOLTAGE=-57.601159324803803, I_K=-0.000002660600350, I_L=-0.620171668138752, I_Na=0.039872097905747, I_T=0.121033472949074, H=0.982373976364424, R=0.001184521745965
VOLTAGE=-57.605750835812742, I_K=-0.000002656762678, I_L=-0.619942033759810, I_Na=0.039799527364588, I_T=0.120994062264235, H=0.982379206519318, R=0.001184752851841
VOLTAGE=-57.610341167677660, I_K=-0.000002652910444, I_L=-0.619712458209363, I_Na=0.039727106277005, I_T=0.120954818350929, H=0.982384468380458, R=0.001184985671828
VOLTAGE=-57.614930317831821, I_K=-0.000002649043786, I_L=-0.619482941616117, I_Na=0.039654834346736, I_T=0.120915740897117, H=0.982389761824301, R=0.001185220204816
VOLTAGE=-57.619518283715841, I_K=-0.000002645162838, I_L=-0.619253484108409, I_Na=0.039582711277940, I_T=0.120876829591211, H=0.982395086727580, R=0.001185456449696
VOLTAGE=-57.624105062777687, I_K=-0.000002641267739, I_L=-0.619024085814208, I_Na=0.039510736775195, I_T=0.120838084122075, H=0.982400442967300, R=0.001185694405364
VOLTAGE=-57.628690652472656, I_K=-0.000002637358622, I_L=-0.618794746861116, I_Na=0.039438910543499, I_T=0.120799504179023, H=0.982405830420740, R=0.001185934070713
VOLTAGE=-57.633275050263379, I_K=-0.000002633435625, I_L=-0.618565467376367, I_Na=0.039367232288270, I_T=0.120761089451820, H=0.982411248965453, R=0.001186175444641
VOLTAGE=-57.637858253619775, I_K=-0.000002629498881, I_L=-0.618336247486831, I_Na=0.039295701715348, I_T=0.120722839630681, H=0.982416698479261, R=0.001186418526047
VOLTAGE=-57.642440260019079, I_K=-0.000002625548526, I_L=-0.618107087319011, I_Na=0.039224318530992, I_T=0.120684754406271, H=0.982422178840263, R=0.001186663313831
VOLTAGE=-57.647021066945797, I_K=-0.000002621584694, I_L=-0.617877986999046, I_Na=0.039153082441886, I_T=0.120646833469706, H=0.982427689926826, R=0.001186909806895
